L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
38.5903,37.899,60.2333,1.43214,1.22888,1.41124,108.79,0.0332783,7.33665,6.64533,39.5871,1.40518,0.582621,0.764981,22.6082,0.0193052,1.65741,1.33745,7.70698,3.36112
38.5903,37.899,60.2372,1.42594,1.25419,1.43095,109.028,0.0351873,7.33665,6.64533,39.5911,1.39897,0.607929,0.784695,22.8462,0.020171,1.65319,1.33747,7.61678,3.36126
38.5903,37.899,60.2376,1.48083,1.26153,1.43732,109.058,0.0364608,7.33665,6.64533,39.5914,1.45386,0.615271,0.791061,22.8766,0.0204905,1.65251,1.33694,7.60285,3.35788
38.5903,37.899,60.2384,1.47045,1.26748,1.4423,109.081,0.0381864,7.33665,6.64533,39.5922,1.44348,0.621219,0.796037,22.8999,0.0212477,1.65198,1.33703,7.59192,3.35847
38.5903,37.899,60.2375,1.50047,1.26634,1.4423,109.065,0.0380058,7.33665,6.64533,39.5914,1.47351,0.620076,0.796041,22.8837,0.0212748,1.65224,1.33675,7.59733,3.35669
38.5903,37.899,60.2384,1.54757,1.26789,1.44326,109.061,0.0387275,7.33665,6.64533,39.5923,1.52061,0.621634,0.796998,22.8798,0.0218139,1.65225,1.33628,7.59759,3.35377
38.5903,37.899,60.2376,1.58971,1.26646,1.44247,109.059,0.0389735,7.33665,6.64533,39.5914,1.56274,0.620203,0.796208,22.8774,0.0218273,1.65232,1.33589,7.59903,3.35125
38.5903,37.899,60.2363,1.69997,1.26272,1.44062,108.959,0.0406196,7.33665,6.64533,39.5901,1.67301,0.616459,0.794359,22.7776,0.0230293,1.65385,1.33483,7.63174,3.34465
38.5903,37.899,60.2382,1.62062,1.26841,1.44404,109.047,0.039888,7.33665,6.64533,39.592,1.59365,0.622151,0.797785,22.8651,0.0220364,1.65243,1.33558,7.60172,3.34934
38.5903,37.899,60.2363,1.5328,1.26324,1.44096,108.937,0.0396687,7.33665,6.64533,39.5901,1.50584,0.616985,0.794706,22.7558,0.0213177,1.65417,1.33645,7.63888,3.3548
38.5903,37.899,60.2357,1.59762,1.26162,1.44017,108.925,0.0375774,7.33665,6.64533,39.5895,1.57066,0.615363,0.793912,22.7438,0.0212743,1.65442,1.33583,7.64345,3.35089
38.5903,37.899,60.2376,1.55776,1.26802,1.44419,109.012,0.0397607,7.33665,6.64533,39.5914,1.5308,0.621759,0.797932,22.8302,0.0215999,1.65295,1.33619,7.61285,3.3532
38.5903,37.899,60.2367,1.66017,1.26508,1.44233,108.97,0.0389962,7.33665,6.64533,39.5906,1.63321,0.618821,0.796072,22.7889,0.0221574,1.65365,1.33521,7.62715,3.34703
38.5903,37.899,60.2363,1.60074,1.26321,1.44145,108.932,0.0398828,7.33665,6.64533,39.5901,1.57378,0.61695,0.795194,22.7508,0.0221085,1.65424,1.33579,7.64005,3.35066
38.5903,37.899,60.2356,1.6945,1.26267,1.44149,108.929,0.0394128,7.33665,6.64533,39.5894,1.66754,0.61641,0.795229,22.7473,0.0220405,1.6543,1.33489,7.64135,3.34502
38.5903,37.899,60.2349,1.53239,1.26027,1.44024,108.885,0.0381572,7.33665,6.64533,39.5887,1.50542,0.614008,0.793983,22.7039,0.0211267,1.65502,1.33647,7.65652,3.35491
38.5903,37.899,60.2361,1.62338,1.26342,1.44179,108.956,0.0389922,7.33665,6.64533,39.59,1.59641,0.617165,0.795535,22.7744,0.0217032,1.65389,1.33557,7.63256,3.3493
38.5903,37.899,60.2361,1.57083,1.26463,1.44274,108.932,0.0388486,7.33665,6.64533,39.5899,1.54387,0.61837,0.796478,22.7509,0.0214325,1.65421,1.33608,7.6394,3.3525
38.5903,37.899,60.2351,1.64842,1.26081,1.44063,108.894,0.0400206,7.33665,6.64533,39.5889,1.62145,0.614552,0.794367,22.7124,0.0217999,1.65485,1.33534,7.65333,3.34784
38.5903,37.899,60.2354,1.60199,1.26126,1.44067,108.892,0.037729,7.33665,6.64533,39.5893,1.57502,0.615001,0.794407,22.7106,0.021027,1.65491,1.33579,7.65399,3.35064
38.5903,37.899,60.2348,1.71437,1.25859,1.43922,108.87,0.0392698,7.33665,6.64533,39.5886,1.68741,0.61233,0.792964,22.688,0.02193,1.65528,1.33471,7.66218,3.34386
38.5903,37.899,60.2355,1.62461,1.26157,1.44068,108.892,0.0384271,7.33665,6.64533,39.5893,1.59765,0.615309,0.794421,22.7106,0.0221098,1.65489,1.33557,7.65354,3.34926
38.5903,37.899,60.2359,1.65329,1.26268,1.44166,108.915,0.0388686,7.33665,6.64533,39.5897,1.62633,0.616422,0.795396,22.7336,0.0219061,1.65451,1.33529,7.64568,3.3475
38.5903,37.899,60.2348,1.63616,1.2605,1.44047,108.859,0.0393628,7.33665,6.64533,39.5887,1.6092,0.614241,0.794215,22.6778,0.0218094,1.65538,1.33546,7.66445,3.3486
38.5903,37.899,60.2345,1.54159,1.25929,1.43972,108.85,0.0385416,7.33665,6.64533,39.5883,1.51462,0.613026,0.793461,22.6687,0.0214936,1.65556,1.33638,7.66809,3.35437
38.5903,37.899,60.235,1.5729,1.2616,1.44086,108.919,0.0395331,7.33665,6.64533,39.5889,1.54593,0.615344,0.7946,22.7378,0.0216949,1.65447,1.33607,7.64499,3.35243
38.5903,37.899,60.2351,1.72696,1.26012,1.43987,108.889,0.0396344,7.33665,6.64533,39.5889,1.7,0.613858,0.793614,22.7071,0.0222374,1.65496,1.33459,7.65534,3.34309
38.5903,37.899,60.2341,1.65576,1.25869,1.43942,108.847,0.0406755,7.33665,6.64533,39.5879,1.6288,0.612427,0.793164,22.6655,0.0223217,1.65559,1.33528,7.66913,3.34746
38.5903,37.899,60.2347,1.64222,1.25973,1.4398,108.882,0.0409639,7.33665,6.64533,39.5885,1.61525,0.613469,0.793546,22.7,0.022082,1.65505,1.33541,7.65776,3.34824
38.5903,37.899,60.2343,1.53673,1.25852,1.43907,108.857,0.0394482,7.33665,6.64533,39.5881,1.50977,0.612258,0.792814,22.6757,0.021024,1.65546,1.33643,7.66645,3.35468
38.5903,37.899,60.2349,1.63433,1.26136,1.44093,108.883,0.039629,7.33665,6.64533,39.5888,1.60736,0.615098,0.794675,22.7018,0.0215477,1.655,1.33548,7.6565,3.34871
