1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.003979,0.002419,0.000882,0.000585,0.000356,-0.000053,0.000053,0.000262,0.030854,0.017895,0.015367,0.017147,0.012662,0.013813,0.005897,0.010013
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.003979,0.002419,0.000882,0.000585,0.000356,-0.000053,0.000053,0.000262,0.030854,0.017895,0.015367,0.017147,0.012662,0.013813,0.005897,0.010013
-0.004792,0.000339,0.000216,-0.000059,0.000322,-0.000272,0.000018,0.000122,0.031085,0.014169,0.016928,0.017161,0.012732,0.014392,0.005751,0.006987
-0.000253,0.000890,0.000923,0.000357,0.000060,0.000135,0.000028,0.000049,0.026730,0.014604,0.018066,0.018942,0.013019,0.009878,0.007115,0.008147
0.002695,0.000142,-0.000445,-0.000851,-0.000171,-0.000567,-0.000000,0.000128,0.030755,0.018048,0.018350,0.019362,0.017610,0.014155,0.005646,0.009706
0.001555,-0.000360,0.000094,-0.000593,-0.000229,-0.000529,0.000005,-0.000006,0.027022,0.020065,0.019463,0.013671,0.013654,0.015935,0.006222,0.007282
0.003870,-0.001075,-0.000712,-0.000412,-0.000572,-0.000070,-0.000061,0.000323,0.029173,0.018065,0.018139,0.015274,0.019165,0.015976,0.006407,0.008924
-0.003997,-0.000391,-0.000824,-0.000786,-0.000256,-0.000139,0.000010,-0.000098,0.029903,0.019181,0.020996,0.015062,0.013966,0.016856,0.007135,0.010626
-0.003382,-0.000195,0.000170,0.001291,0.000290,-0.000009,0.000068,0.000073,0.035726,0.017780,0.018899,0.019906,0.021150,0.018556,0.008111,0.010111
-0.003454,-0.002174,-0.000300,0.000136,0.000082,-0.000133,0.000018,0.000079,0.031299,0.023206,0.017854,0.020362,0.013385,0.016660,0.007415,0.010016
0.000090,0.001667,-0.000344,0.000418,0.000060,0.000161,0.000008,0.000146,0.028511,0.025842,0.021238,0.015426,0.014661,0.012493,0.006783,0.010517
-0.002044,-0.000616,0.000052,-0.001015,0.000022,-0.000015,0.000058,-0.000092,0.029645,0.017174,0.017012,0.016477,0.008984,0.011635,0.008576,0.006905
0.007632,0.000844,0.000050,-0.000425,0.000081,-0.000018,0.000041,-0.000079,0.033261,0.020806,0.023439,0.018228,0.016180,0.013353,0.006667,0.011768
-0.002044,-0.000018,0.000562,0.001112,0.000264,0.000296,-0.000018,0.000610,0.029873,0.017355,0.018167,0.017149,0.015276,0.018531,0.007727,0.011961
-0.004973,0.000456,0.000151,-0.000467,0.000309,-0.000109,-0.000037,-0.000067,0.028553,0.018646,0.021879,0.017529,0.020453,0.017253,0.006682,0.009549
0.000705,0.000376,0.000403,-0.000402,-0.000180,0.000230,0.000027,-0.000085,0.026101,0.018074,0.021649,0.018862,0.014064,0.016782,0.008368,0.008100
0.001646,0.001325,-0.000128,-0.000187,-0.000164,0.000041,0.000029,-0.000177,0.030938,0.022260,0.017970,0.011951,0.016846,0.012169,0.006785,0.007737
-0.000832,-0.001331,0.000246,0.000320,0.000102,0.000632,0.000042,0.000275,0.029340,0.022944,0.017821,0.015266,0.014998,0.017087,0.007276,0.011536
0.007035,0.001267,0.001161,0.000555,0.000295,0.000136,0.000035,0.000018,0.031672,0.018569,0.021702,0.017639,0.016472,0.014017,0.006701,0.011032
0.002351,0.000562,0.000113,0.000169,0.000061,-0.000105,0.000051,-0.000049,0.026242,0.025159,0.021466,0.016839,0.014854,0.016755,0.007630,0.011355
-0.000561,0.000399,0.000365,0.000702,0.000072,0.000245,0.000041,0.000165,0.028466,0.019941,0.018298,0.015130,0.012402,0.007840,0.009056,0.009745
-0.001610,0.000707,-0.000003,0.000495,-0.000015,0.000144,0.000024,-0.000018,0.030610,0.018849,0.022477,0.016815,0.014210,0.015431,0.008838,0.007334
0.003599,0.001777,0.000194,0.000008,0.000626,0.000265,0.000059,0.000061,0.031427,0.015813,0.018360,0.014179,0.016835,0.020640,0.006977,0.009844
-0.004395,-0.001825,-0.000271,-0.000287,0.000143,0.000227,0.000060,-0.000116,0.026431,0.019436,0.016229,0.019944,0.015205,0.018795,0.007438,0.007176
0.000163,-0.000104,0.000648,-0.000174,0.000008,-0.000300,-0.000016,-0.000305,0.027213,0.019854,0.024458,0.013521,0.016007,0.018175,0.007305,0.010405
0.002315,-0.000880,0.000441,-0.000051,-0.000543,0.000180,0.000066,-0.000189,0.024965,0.017889,0.021622,0.012158,0.019718,0.016737,0.006149,0.006958
0.006330,-0.000232,0.000236,-0.000173,0.000359,-0.000377,0.000017,-0.000006,0.032575,0.018921,0.023918,0.019125,0.015506,0.016943,0.006480,0.012522
0.000109,0.000174,-0.000011,-0.000242,-0.000083,-0.000189,-0.000012,0.000195,0.028846,0.017970,0.021644,0.019098,0.015716,0.018096,0.008476,0.011587
0.000271,-0.002009,0.000203,0.000603,0.000251,0.000143,-0.000001,0.000275,0.026708,0.025649,0.015938,0.019770,0.021692,0.018687,0.007224,0.011958
0.001248,0.000918,0.000491,0.000428,0.000046,-0.000173,0.000004,0.000067,0.027963,0.024600,0.023958,0.019272,0.017388,0.018940,0.007087,0.008446
0.000452,0.000003,0.000362,0.000070,-0.000126,0.000043,-0.000006,0.000195,0.026193,0.024254,0.023120,0.018061,0.015371,0.012870,0.006518,0.010072
-0.002134,-0.001926,0.000284,-0.000449,0.000088,-0.000055,-0.000022,0.000415,0.026899,0.018687,0.023963,0.020287,0.017945,0.012999,0.007683,0.011581
-0.002188,-0.001478,-0.000043,0.000044,0.000009,-0.000305,0.000046,0.000110,0.028188,0.024578,0.022499,0.019048,0.014993,0.014870,0.006579,0.011117
0.000633,-0.000384,-0.000271,-0.000281,-0.000076,0.000023,0.000019,0.000000,0.032542,0.020505,0.020950,0.019240,0.020961,0.015756,0.006794,0.010980
-0.002803,0.000426,-0.000497,-0.000540,0.000016,-0.000263,-0.000027,-0.000079,0.027318,0.018271,0.023096,0.020102,0.015025,0.020089,0.006095,0.009707
-0.000687,0.000869,-0.000459,-0.000063,-0.000267,-0.000422,-0.000010,-0.000195,0.032349,0.018227,0.023110,0.014831,0.015671,0.016255,0.007324,0.010334
-0.000977,-0.001033,-0.000166,0.000129,0.000136,0.000008,0.000015,-0.000519,0.025940,0.025797,0.022997,0.020170,0.015387,0.018385,0.005719,0.013953
-0.001845,-0.000609,-0.000447,-0.000420,-0.000167,-0.000303,0.000024,0.000177,0.036695,0.024763,0.022557,0.018011,0.014371,0.016785,0.007224,0.007737
-0.000597,-0.000190,0.000101,-0.000064,0.000206,0.000333,-0.000020,-0.000366,0.033025,0.024783,0.022003,0.020245,0.015401,0.017236,0.007973,0.010548
-0.004123,-0.000100,0.000096,-0.000722,-0.000304,-0.000144,-0.000019,0.000092,0.025673,0.023587,0.022291,0.019128,0.018136,0.012864,0.005357,0.011305
-0.003563,0.000879,-0.000234,0.000495,0.000016,0.000199,-0.000002,-0.000024,0.035069,0.015337,0.022955,0.016022,0.012409,0.018302,0.005965,0.010875
-0.004232,0.001408,0.000973,0.000388,0.000350,0.000360,0.000083,-0.000549,0.027403,0.023155,0.025336,0.016159,0.016653,0.016815,0.007359,0.010861
0.001103,-0.001750,-0.000172,0.000012,0.000003,-0.000041,0.000053,-0.000739,0.025161,0.019629,0.018595,0.014834,0.018290,0.017997,0.006083,0.011810
-0.000832,-0.001550,-0.000172,0.000272,0.000020,0.000437,0.000045,0.000140,0.030659,0.026271,0.016535,0.019802,0.017466,0.016781,0.006922,0.011372
-0.006094,-0.000612,-0.001158,0.000020,-0.000246,0.000044,-0.000039,-0.000079,0.032741,0.022930,0.023241,0.013592,0.012026,0.011458,0.006298,0.007229
0.002261,-0.000462,-0.000548,-0.000033,0.000139,0.000221,0.000003,-0.000256,0.034100,0.017283,0.022401,0.018590,0.015210,0.016474,0.006495,0.012924
-0.000181,0.000400,0.000225,0.000442,0.000038,0.000271,0.000033,0.000165,0.030411,0.019629,0.023626,0.018718,0.017311,0.017683,0.005933,0.011734
0.001248,0.001579,0.000087,-0.000321,0.000035,-0.000120,-0.000038,0.000287,0.029727,0.020112,0.018347,0.019548,0.017108,0.012644,0.006522,0.010748
-0.003599,-0.000257,-0.000043,0.000572,0.000096,0.000032,0.000019,-0.000250,0.030992,0.022103,0.020263,0.018086,0.021705,0.015837,0.006107,0.011403
0.003834,-0.000675,-0.000083,0.000319,0.000290,0.000279,0.000130,-0.000238,0.026752,0.018147,0.017236,0.020134,0.018065,0.013042,0.007985,0.012211
-0.001646,0.001466,-0.000109,0.000278,0.000231,-0.000164,-0.000011,-0.000360,0.032402,0.020918,0.020165,0.016119,0.017522,0.018490,0.006351,0.011987
-0.000904,0.000952,0.000102,0.000355,0.000109,0.000304,0.000011,-0.000122,0.035510,0.018410,0.023705,0.018340,0.016645,0.016150,0.007551,0.011588
-0.000958,0.001078,-0.000052,0.000099,0.000031,0.000125,-0.000000,-0.000330,0.032948,0.020628,0.019295,0.012871,0.013727,0.012473,0.006817,0.009877
0.000398,-0.001317,0.000638,-0.000237,0.000442,0.000227,0.000011,-0.000049,0.026473,0.024656,0.021822,0.020537,0.016254,0.016860,0.005772,0.009408
-0.000958,-0.001006,-0.000026,-0.000025,0.000260,0.000521,0.000055,0.000061,0.027113,0.016328,0.021033,0.014724,0.015984,0.018120,0.006997,0.010335
-0.000850,-0.000915,-0.000623,-0.000117,0.000318,0.000077,0.000016,-0.000012,0.029204,0.022870,0.021511,0.012418,0.020916,0.017244,0.006501,0.010769
-0.002586,0.000888,0.000264,0.000045,-0.000114,-0.000095,-0.000020,-0.000171,0.030543,0.017693,0.016943,0.014420,0.017241,0.016909,0.006690,0.009406
0.003074,0.001072,-0.000026,-0.000168,0.000307,-0.000251,0.000028,0.000348,0.028125,0.017499,0.016941,0.016085,0.019491,0.016819,0.007681,0.012271
-0.000669,-0.001539,0.000349,-0.000038,0.000145,-0.000018,-0.000039,0.000232,0.026059,0.019214,0.017580,0.019780,0.019450,0.013835,0.006190,0.011047
-0.002387,0.001280,-0.000719,0.000213,-0.000365,-0.000124,-0.000025,0.000323,0.029980,0.018667,0.021187,0.014097,0.020295,0.015591,0.007078,0.010747
-0.001194,-0.000546,-0.000339,-0.000330,-0.000183,-0.000275,-0.000021,0.000098,0.026747,0.018014,0.022666,0.013552,0.017779,0.018274,0.005931,0.009766
0.002785,0.000122,0.000717,-0.000187,0.000175,0.000092,-0.000037,0.000031,0.028751,0.020476,0.019935,0.016571,0.019579,0.011921,0.007715,0.012338
0.003725,-0.000053,-0.000060,0.000062,0.000001,0.000304,0.000027,-0.000037,0.033620,0.018015,0.022862,0.017825,0.019364,0.016649,0.004978,0.009688
0.001031,-0.000333,-0.000614,0.000463,0.000078,0.000164,0.000049,0.000378,0.032323,0.022020,0.020997,0.019526,0.018309,0.015864,0.006336,0.012098
-0.003400,0.000341,-0.000134,-0.000378,-0.000091,-0.000372,-0.000010,-0.000104,0.025691,0.024811,0.017074,0.015100,0.017343,0.019487,0.007264,0.010857
-0.001194,-0.001384,-0.000208,-0.000371,0.000005,-0.000053,0.000038,0.000061,0.030831,0.017646,0.017342,0.019472,0.014119,0.012964,0.006553,0.008194
-0.003924,-0.000977,0.000035,-0.000041,-0.000019,0.000022,-0.000009,0.000073,0.029417,0.021216,0.019368,0.016998,0.019951,0.017608,0.007133,0.012506
0.003870,-0.000416,-0.000276,0.000122,-0.000214,-0.000670,0.000014,0.000171,0.025580,0.021802,0.021847,0.014661,0.015558,0.017884,0.005991,0.010481
0.003870,-0.000376,-0.000032,0.000314,0.000365,0.000401,0.000017,-0.000232,0.029289,0.024159,0.022375,0.015402,0.017763,0.018072,0.005561,0.010406
