1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.002528,-0.014490,0.006155,0.001826,-0.001302,-0.013502,-0.044675,-0.024247,0.494696,0.645062,0.655540,0.644965,0.656509,0.660282,0.702304,0.652271
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.002528,-0.014490,0.006155,0.001826,-0.001302,-0.013502,-0.044675,-0.024247,0.494696,0.645062,0.655540,0.644965,0.656509,0.660282,0.702304,0.652271
-0.003698,-0.021716,0.017794,-0.011263,-0.000863,-0.022167,-0.047935,-0.024605,0.452217,0.592578,0.602037,0.608767,0.621857,0.629254,0.696134,0.651797
-0.014328,-0.024580,0.012921,-0.021531,-0.002639,-0.027597,-0.049160,-0.023568,0.449789,0.565767,0.573502,0.591437,0.592503,0.608965,0.692517,0.651904
-0.011874,-0.025995,0.011388,-0.042514,-0.003793,-0.031133,-0.050492,-0.024629,0.454953,0.548536,0.551665,0.586602,0.575405,0.591774,0.690378,0.651614
-0.012624,-0.029244,0.006476,-0.044864,-0.005760,-0.032226,-0.052828,-0.023896,0.468812,0.538657,0.539609,0.580970,0.560353,0.578037,0.688661,0.650606
-0.021416,-0.032580,0.000998,-0.044111,-0.006064,-0.037243,-0.054671,-0.023441,0.474313,0.533077,0.531052,0.573742,0.550892,0.567550,0.688631,0.648370
-0.018673,-0.035407,-0.001075,-0.052824,-0.006941,-0.039469,-0.056673,-0.021602,0.475117,0.527301,0.525659,0.570595,0.543624,0.559177,0.688143,0.645210
-0.010006,-0.041319,-0.006159,-0.058079,-0.010257,-0.040490,-0.057472,-0.020336,0.474392,0.528679,0.523197,0.567634,0.538172,0.552602,0.687951,0.640788
-0.015887,-0.034749,-0.004873,-0.055692,-0.010563,-0.045215,-0.060776,-0.020213,0.477062,0.525077,0.521984,0.569786,0.534974,0.548381,0.688631,0.639219
-0.011642,-0.038446,-0.007457,-0.060228,-0.012103,-0.046123,-0.063492,-0.017377,0.479981,0.524989,0.520767,0.567853,0.533807,0.545173,0.691216,0.636396
-0.012046,-0.043469,-0.011747,-0.061579,-0.015659,-0.048811,-0.065392,-0.016342,0.474571,0.525067,0.520692,0.566885,0.532747,0.542235,0.690235,0.632604
-0.028423,-0.039520,-0.009681,-0.060014,-0.016366,-0.050980,-0.067002,-0.018006,0.483178,0.525596,0.519836,0.563476,0.532779,0.541364,0.691607,0.630871
-0.015405,-0.041756,-0.011837,-0.063671,-0.015950,-0.053469,-0.067302,-0.017167,0.487550,0.529452,0.519540,0.568096,0.533169,0.539791,0.690100,0.629477
-0.010477,-0.044474,-0.014139,-0.069978,-0.018144,-0.057704,-0.068605,-0.015017,0.492203,0.531727,0.520160,0.570276,0.535029,0.540716,0.691559,0.628017
-0.017428,-0.045517,-0.016187,-0.073572,-0.019421,-0.055899,-0.069656,-0.014425,0.493998,0.533086,0.519206,0.571167,0.536472,0.539754,0.689861,0.626013
-0.014749,-0.044878,-0.021666,-0.078159,-0.021371,-0.056565,-0.070990,-0.013464,0.491439,0.532015,0.520061,0.579041,0.537730,0.540762,0.691363,0.623005
-0.013173,-0.038175,-0.018303,-0.079605,-0.020419,-0.058108,-0.072868,-0.013895,0.494314,0.532245,0.518299,0.579130,0.538650,0.541233,0.691520,0.623285
-0.029817,-0.044778,-0.020220,-0.082043,-0.020907,-0.061528,-0.073447,-0.013114,0.493991,0.532842,0.518417,0.584335,0.537713,0.542742,0.690963,0.621704
-0.020206,-0.047511,-0.020470,-0.075985,-0.024812,-0.063482,-0.073930,-0.012660,0.498235,0.536747,0.517656,0.582273,0.538313,0.544311,0.689829,0.620655
-0.015960,-0.044991,-0.021012,-0.083295,-0.024911,-0.063240,-0.075188,-0.011512,0.500238,0.537874,0.516774,0.585818,0.539966,0.546250,0.691716,0.619170
-0.011292,-0.044336,-0.025902,-0.081033,-0.025883,-0.064461,-0.075432,-0.011919,0.490051,0.541586,0.517202,0.585500,0.540521,0.547212,0.689620,0.618841
-0.019041,-0.042465,-0.022096,-0.081728,-0.025380,-0.063347,-0.076512,-0.011415,0.490885,0.539409,0.516677,0.585292,0.540062,0.548415,0.691030,0.617084
-0.015163,-0.045654,-0.023280,-0.084117,-0.024296,-0.066071,-0.077467,-0.010492,0.492398,0.538462,0.515457,0.588830,0.539809,0.549722,0.691000,0.615378
-0.016981,-0.048171,-0.022951,-0.084707,-0.025954,-0.064360,-0.078368,-0.009434,0.493898,0.540826,0.515337,0.584202,0.540300,0.550260,0.690627,0.614521
-0.019705,-0.045813,-0.024504,-0.086275,-0.027970,-0.066859,-0.078021,-0.008443,0.493629,0.538954,0.515342,0.582808,0.540068,0.550128,0.689289,0.613124
-0.020240,-0.046811,-0.022201,-0.082703,-0.027854,-0.066156,-0.078783,-0.008834,0.493006,0.539951,0.514516,0.582312,0.540126,0.550433,0.690317,0.613853
-0.010062,-0.045522,-0.020427,-0.080985,-0.025460,-0.066004,-0.079904,-0.008067,0.488701,0.543149,0.514672,0.578422,0.541098,0.552724,0.688306,0.613099
-0.021074,-0.052048,-0.022213,-0.082670,-0.026331,-0.065748,-0.080977,-0.006902,0.495510,0.540091,0.516162,0.575371,0.540794,0.554331,0.689568,0.612466
-0.019874,-0.048391,-0.023999,-0.081567,-0.027527,-0.066766,-0.082403,-0.006449,0.505091,0.540857,0.515733,0.573955,0.540633,0.555571,0.690852,0.613175
-0.018491,-0.048506,-0.023140,-0.082635,-0.029276,-0.064375,-0.082220,-0.005418,0.499099,0.544000,0.515185,0.572559,0.542910,0.555205,0.690877,0.612614
-0.018920,-0.049486,-0.022902,-0.082520,-0.028648,-0.064147,-0.082489,-0.005041,0.490982,0.547603,0.516017,0.572876,0.542561,0.555706,0.690727,0.611713
-0.011316,-0.042858,-0.023976,-0.082912,-0.028052,-0.065544,-0.083583,-0.005087,0.493665,0.544927,0.515559,0.576196,0.541220,0.557380,0.690613,0.612506
-0.024636,-0.048787,-0.022558,-0.081232,-0.027114,-0.065964,-0.082657,-0.005487,0.494174,0.548735,0.514645,0.570735,0.541043,0.558490,0.689109,0.612120
-0.011572,-0.043826,-0.021336,-0.083134,-0.028017,-0.066641,-0.082695,-0.004714,0.496160,0.548095,0.512226,0.569105,0.542389,0.558766,0.689484,0.610694
-0.015929,-0.043795,-0.025227,-0.083755,-0.025616,-0.065227,-0.084417,-0.005259,0.490971,0.546616,0.514022,0.573107,0.541914,0.559307,0.689766,0.612094
-0.014787,-0.045420,-0.022767,-0.082134,-0.026359,-0.067384,-0.085989,-0.005117,0.493054,0.547708,0.513860,0.569093,0.543674,0.558734,0.690010,0.611125
-0.018791,-0.040604,-0.021470,-0.085867,-0.026929,-0.063447,-0.086094,-0.002674,0.489245,0.547129,0.512594,0.568699,0.543219,0.558859,0.691213,0.609729
-0.010144,-0.045467,-0.022352,-0.080143,-0.029989,-0.067962,-0.085250,-0.003225,0.493567,0.545304,0.512117,0.568942,0.543746,0.559817,0.690814,0.608433
-0.008672,-0.047230,-0.023657,-0.080917,-0.027720,-0.068166,-0.087378,-0.003317,0.491283,0.547355,0.512667,0.572075,0.543993,0.562366,0.690555,0.609447
-0.009002,-0.046956,-0.025061,-0.080907,-0.027944,-0.066674,-0.085422,-0.004163,0.500800,0.548227,0.513581,0.568181,0.544322,0.560524,0.691680,0.609906
-0.015015,-0.049058,-0.024075,-0.080001,-0.028281,-0.066349,-0.088830,-0.004514,0.496838,0.548110,0.513070,0.569698,0.545029,0.561982,0.691516,0.609250
-0.019008,-0.044880,-0.026683,-0.083270,-0.029986,-0.066526,-0.088385,-0.002386,0.494978,0.548594,0.514172,0.571571,0.544940,0.561503,0.689768,0.608515
-0.012818,-0.041645,-0.024795,-0.082796,-0.029868,-0.067985,-0.088377,-0.002023,0.488205,0.548657,0.513316,0.571325,0.544872,0.561864,0.690167,0.608149
-0.013317,-0.045247,-0.023004,-0.083845,-0.030007,-0.065669,-0.090270,-0.002535,0.496511,0.550002,0.512974,0.569478,0.545663,0.563032,0.688919,0.609238
-0.012769,-0.045323,-0.020610,-0.088046,-0.029820,-0.065741,-0.090364,-0.001480,0.496139,0.550366,0.512660,0.569023,0.548167,0.561990,0.691099,0.608401
-0.020497,-0.046860,-0.026563,-0.087642,-0.031540,-0.066074,-0.088967,-0.001952,0.498709,0.552048,0.512831,0.570560,0.551566,0.560910,0.689422,0.609276
-0.020686,-0.047308,-0.027044,-0.084155,-0.029146,-0.064917,-0.091347,-0.001571,0.493543,0.548588,0.513475,0.570406,0.549590,0.561217,0.690800,0.608534
-0.013845,-0.046734,-0.024312,-0.083439,-0.029882,-0.063688,-0.091333,-0.001963,0.494432,0.548479,0.511653,0.569430,0.551154,0.562542,0.689900,0.607822
-0.021016,-0.045913,-0.022894,-0.088377,-0.030377,-0.061856,-0.091408,-0.001582,0.498290,0.549919,0.512447,0.568970,0.551817,0.560049,0.692024,0.607791
